Application,Length(mm),Width(um),Frequency(MHz),Power(nWatts)
1,1,0.1,128,349.4
1,1,0.25,128,196.1
1,1,0.4,128,142.8
1,1,0.8,128,95.18
1,1,1,128,82.37
1,1,0.1,64,137.8
1,1,0.25,64,77.82
1,1,0.4,64,57.99
1,1,0.8,64,39.74
1,1,1,64,35.22
2,1,0.1,910,3549
2,1,0.25,910,1992
2,1,0.4,910,1416
2,1,0.8,910,889.8
2,1,1,910,759.6
2,1,0.1,670,2561
2,1,0.25,670,1435
2,1,0.4,670,1022
2,1,0.8,670,645.8
2,1,1,670,552.4
2,1,0.1,600,2260
2,1,0.25,600,1265
2,1,0.4,600,900.7
2,1,0.8,600,569.7
2,1,1,600,487.4
2,1,0.1,500,1843
2,1,0.25,500,1030
2,1,0.4,500,734.1
2,1,0.8,500,465.8
2,1,1,500,399.1
2,1,0.1,250,806.2
2,1,0.25,250,449
2,1,0.4,250,322.4
2,1,0.8,250,208.5
2,1,1,250,179.9
2,1,0.1,190,594.4
2,1,0.25,190,331.4
2,1,0.4,190,239.1
2,1,0.8,190,156.3
2,1,1,190,135.4
2,1,0.1,173,503.4
2,1,0.25,173,280
2,1,0.4,173,203.1
2,1,0.8,173,133.4
2,1,1,173,115.7
2,1,0.1,60,105.1
2,1,0.25,60,61.62
2,1,0.4,60,45.66
2,1,0.8,60,31.83
2,1,1,60,28.15
2,1,0.1,40,51.97
2,1,0.25,40,38.18
2,1,0.4,40,28.57
2,1,0.8,40,20.29
2,1,1,40,18.12
2,1,0.1,32,35.23
2,1,0.25,32,23.94
2,1,0.4,32,17.97
2,1,0.8,32,12.89
2,1,1,32,11.58
2,1,0.1,0.5,0.01259
2,1,0.25,0.5,0.007181
2,1,0.4,0.5,0.005417
2,1,0.8,0.5,0.003904
2,1,1,0.5,0.003521
3,1,0.1,128,349.4
3,1,0.25,128,196.1
3,1,0.4,128,142.8
3,1,0.8,128,95.18
3,1,1,128,82.37
3,1,0.1,96,223.7
3,1,0.25,96,125.8
3,1,0.4,96,92.22
3,1,0.8,96,63.74
3,1,1,96,55.32
3,1,0.1,64,137.8
3,1,0.25,64,77.82
3,1,0.4,64,57.99
3,1,0.8,64,39.74
3,1,1,64,35.22
4,1,0.1,46.73,74.92
4,1,0.25,46.73,42.54
4,1,0.4,46.73,31.81
4,1,0.8,46.73,22.28
4,1,1,46.73,19.92
4,1,0.1,38.016,64.83
4,1,0.25,38.016,37.01
4,1,0.4,38.016,27.64
4,1,0.8,38.016,19.59
4,1,1,38.016,17.5
4,1,0.1,38.001,64.82
4,1,0.25,38.001,37
4,1,0.4,38.001,27.63
4,1,0.8,38.001,19.58
4,1,1,38.001,17.49
4,1,0.1,37.958,64.77
4,1,0.25,37.958,37
4,1,0.4,37.958,27.6
4,1,0.8,37.958,19.568
4,1,1,37.958,17.58
4,1,0.1,24.634,23.38
4,1,0.25,24.634,13.34
4,1,0.4,24.634,10.03
4,1,0.8,24.634,7.284
4,1,1,24.634,6.573
4,1,0.1,4.06,0.719
4,1,0.25,4.06,0.4098
4,1,0.4,4.06,0.311
4,1,0.8,4.06,0.2307
4,1,1,4.06,0.2115
4,1,0.1,2.083,0.1916
4,1,0.25,2.083,0.11
4,1,0.4,2.083,0.08333
4,1,0.8,2.083,0.06174
4,1,1,2.083,0.05673
4,1,0.1,0.5,0.01259
4,1,0.25,0.5,0.007181
4,1,0.4,0.5,0.005417
4,1,0.8,0.5,0.003904
4,1,1,0.5,0.003521
4,1,0.1,0.193,0.001787
4,1,0.25,0.193,0.001011
4,1,0.4,0.193,0.0007695
4,1,0.8,0.193,0.000578
4,1,1,0.193,0.000529
4,1,0.1,0.025,0.00002875
4,1,0.25,0.025,0.00001634
4,1,0.4,0.025,0.00001239
4,1,0.8,0.025,0.000009199
4,1,1,0.025,0.000008358
4,1,0.1,0.001,4.64E-08
4,1,0.25,0.001,2.62E-08
4,1,0.4,0.001,1.98E-08
4,1,0.8,0.001,1.46E-08
4,1,1,0.001,1.34E-08
5,1,0.1,4.06,74.92
5,1,0.25,4.06,42.54
5,1,0.4,4.06,31.81
5,1,0.8,4.06,22.28
5,1,1,4.06,19.92
5,1,0.1,2.083,0.1916
5,1,0.25,2.083,0.11
5,1,0.4,2.083,0.08333
5,1,0.8,2.083,0.06174
5,1,1,2.083,0.05673
5,1,0.1,1,0.04559
5,1,0.25,1,0.026
5,1,0.4,1,0.01961
5,1,0.8,1,0.01459
5,1,1,1,0.01318
5,1,0.1,0.87,0.03539
5,1,0.25,0.87,0.02004
5,1,0.4,0.87,0.01509
5,1,0.8,0.87,0.01104
5,1,1,0.87,0.01015
5,1,0.1,0.5,0.01259
5,1,0.25,0.5,0.007181
5,1,0.4,0.5,0.005417
5,1,0.8,0.5,0.003904
5,1,1,0.5,0.003521
5,1,0.1,0.18,0.001546
5,1,0.25,0.18,0.0008759
5,1,0.4,0.18,0.000665
5,1,0.8,0.18,0.0005017
5,1,1,0.18,0.00046015
5,1,0.1,0.15,0.001062
5,1,0.25,0.15,0.0006036
5,1,0.4,0.15,0.0004583
5,1,0.8,0.15,0.0003416
5,1,1,0.15,0.0003137
5,1,0.1,0.025,0.00002875
5,1,0.25,0.025,0.00001634
5,1,0.4,0.025,0.00001239
5,1,0.8,0.025,0.000009199
5,1,1,0.025,0.000008358
5,1,0.1,0.01,0.000004568
5,1,0.25,0.01,0.000002595
5,1,0.4,0.01,0.000001968
5,1,0.8,0.01,0.000001461
5,1,1,0.01,0.000001337
6,1,0.1,4.063,0.719
6,1,0.25,4.063,0.4098
6,1,0.4,4.063,0.311
6,1,0.8,4.063,0.2307
6,1,1,4.063,0.2115
6,1,0.1,3.672,0.5924
6,1,0.25,3.672,0.3372
6,1,0.4,3.672,0.2554
6,1,0.8,3.672,0.1892
6,1,1,3.672,0.1731
6,1,0.1,2.083,0.1916
6,1,0.25,2.083,0.11
6,1,0.4,2.083,0.08333
6,1,0.8,2.083,0.06174
6,1,1,2.083,0.05673
6,1,0.1,0.5,0.01259
6,1,0.25,0.5,0.007181
6,1,0.4,0.5,0.005417
6,1,0.8,0.5,0.003904
6,1,1,0.5,0.003521
6,1,0.1,0.38,0.00729
6,1,0.25,0.38,0.004105
6,1,0.4,0.38,0.003112
6,1,0.8,0.38,0.002295
6,1,1,0.38,0.002111
6,1,0.1,0.25,0.00306
6,1,0.25,0.25,0.00174
6,1,0.4,0.25,0.001314
6,1,0.8,0.25,0.0009858
6,1,1,0.25,0.0009104
6,1,0.1,0.187,0.001673
6,1,0.25,0.187,0.0009475
6,1,0.4,0.187,0.0007186
6,1,0.8,0.187,0.5424
6,1,1,0.187,0.0004962
6,1,0.1,0.1,0.000465
6,1,0.25,0.1,0.0002638
6,1,0.4,0.1,0.0002002
6,1,0.8,0.1,0.000149
6,1,1,0.1,0.0001369
6,1,0.1,0.025,0.00002875
6,1,0.25,0.025,0.00001634
6,1,0.4,0.025,0.00001239
6,1,0.8,0.025,0.000009199
6,1,1,0.025,0.000008358
6,1,0.1,0.01,0.000004568
6,1,0.25,0.01,0.000002595
6,1,0.4,0.01,0.000001968
6,1,0.8,0.01,0.000001461
6,1,1,0.01,0.000001337
1,1,1,128,120.1
1,2.5,1,128,641.7
1,5,1,128,0.00211
1,7,1,128,0.003737
1,1,1,64,46.37
1,2.5,1,64,283.4
1,5,1,64,992.1
1,7,1,64,0.0018
2,1,1,128,120.1
2,2.5,1,128,641.7
2,5,1,128,0.00211
2,7,1,128,0.003737
2,1,1,96,81.86
2,2.5,1,96,460.7
2,5,1,96,1.549
2,7,1,96,0.00277
2,1,1,64,46.37
2,2.5,1,64,283.4
2,5,1,64,992.1
2,7,1,64,0.0018
4,1,1,46.73,28.83
4,2.5,1,46.73,189.6
4,5,1,46.73,691.4
4,1,1,38.016,20.96
4,2.5,1,38.016,143.8
4,5,1,38.016,540.4
4,1,1,37.958,20.89
4,2.5,1,37.958,143.5
4,5,1,37.958,539.4
4,1,1,24.634,10.06
4,2.5,1,24.634,77.62
4,5,1,24.634,313.8
4,1,1,4.06,0.3441
4,2.5,1,4.06,3.411
4,5,1,4.06,18.74
4,1,1,2.083,0.09183
4,2.5,1,2.083,0.9392
4,5,1,2.083,5.354
4,1,1,0.5,0.005659
4,2.5,1,0.5,0.05544
4,5,1,0.5,0.3299
4,1,1,0.193,0.000863
4,2.5,1,0.193,0.008885
4,5,1,0.193,0.0495
5,1,1,4.063,0.3441
5,2.5,1,4.063,3.411
5,5,1,4.063,18.74
5,1,1,2.083,0.09183
5,2.5,1,2.083,0.9392
5,5,1,2.083,5.354
6,1,1,1,0.02154
6,2.5,1,1,0.22
6,5,1,1,1.288